sheet,field_name_NO,dwc_mapping
feltoperasjon,Skjema_nr,
feltoperasjon,Skjema_filnavn,
feltoperasjon,Prosjekt,
feltoperasjon,Siktedyp,
feltoperasjon,waipoint_filnavn,
feltoperasjon,eventDate,dwc:eventDate
feltoperasjon,eventTime,dwc:eventTime
feltoperasjon,duration,
feltoperasjon,Lokalitet navn,dwc:locality
feltoperasjon,Lokalitet vatn_lnr,nve:waterbodyID
feltoperasjon,Personell,dwc:collectedBy
feltoperasjon,Kommentar,dwc:eventRemarks
feltoperasjon,Lokalitet_kode,dwc:localityID
event,eventID,dwc:eventID
event,skjema_nr,
event,verbatimLokality,dwc:verbatimLocality
event,Stasj.,
event,Feltkode,dwc:fieldNumber
event,Redskap,dwc:samplingProtocol
event,feltKode_innhold,
event,garn_nr,
event,serie_nr,
event,ant_garn ,dwc:samplingEfforth
event,min_dyp,dwc:minimumDepthInMeters 
event,max_dyp,dwc:maximumDepthInMeters 
event,start_wp,
event,slutt_wp,
event,kommentar,dwc:eventRemarks
occurrence,eventID,
occurrence,Feltkode,
occurrence,feltkode_innhold,
occurrence,occurrenceID,dwc:occurrenceID
occurrence,Art,dwc:vernecularName
occurrence,taxonID,dwc:taxonID
occurrence,scientificName,dwc:scientificName
occurrence,mesh_size_mm,mof
occurrence,Løpenr,recordNumber
occurrence,lengde_cm,mof
occurrence,vekt_g,mof
occurrence,kjonn,dwc:sex
occurrence,Stadium,dwc:reproductiveCondition | dwc:lifeStage
occurrence,Farge,mof
occurrence,Bendelorm,mof
occurrence,Fyllingsgrad,mof
occurrence,#ISO,mof
occurrence,# MG,mof
occurrence,#DNA,mof
occurrence,Merknader,dwc:occurrenceRemarks
occurrence,Døgnfluer,mof
occurrence,Steinfluer,mof
occurrence,Vårfluer,mof
occurrence,Fjærmygg,mof
occurrence,Stankelbein,mof
occurrence,Sviknott,mof
occurrence,Knott,mof
occurrence,Vannbiller,mof
occurrence,Buksvømmere,mof
occurrence,Ertemusling,mof
occurrence,Damsnegl,mof
occurrence,Skivesnegl,mof
occurrence,Plankton,mof
occurrence,Linsekreps,mof
occurrence,Mysis,mof
occurrence,Marflo,mof
occurrence,Pallasea,mof
occurrence,Fåbørstemark,mof
occurrence,Andre bunndyr,mof
occurrence,Luftinsekt,mof
occurrence,Fisk,mof
occurrence,skjellkonvoluttID,materialSampleID
occurrence,skjell_otolitt_innhold,mof
occurrence,skjellkonvoluttNummer,dwc:catalogNumber
occurrence,vevsprøveID,materialSampleID
occurrence,vevsprøveInnhodl,mof
occurrence,vevsprøve_nummer,dwc:catalogNumber
occurrence,fiskeglassID,materialSampleID
occurrence,fiskeglass_nummer,dwc:catalogNumber
