sheet,field_name_NO,validation,DwC-A_table,DwC-A_field,DwC-A_namespace,description_NO
feltoperasjon,Skjema_nr,,,,,
feltoperasjon,Skjema_filnavn,,,,,
feltoperasjon,Prosjekt,,,,,
feltoperasjon,Siktedyp,,,,,
feltoperasjon,waipoint_filnavn,,,,,
feltoperasjon,eventDate,,,,,
feltoperasjon,eventTime,,,,,
feltoperasjon,duration,,,,,
feltoperasjon,Lokalitet navn: Nord_Lagunen,,,,,
feltoperasjon,Lokalitet vatn_lnr,,,,,
feltoperasjon,Personell,,,,,
feltoperasjon,Kommentar,,,,,
feltoperasjon,Lokalitet_kode,,,,,
event,eventID,,,,,
event,skjema_nr,,,,,
event,verbatimLokality,,,,,
event,Stasj.,,,,,
event,Feltkode,,,fieldName,,
event,Redskap,,,samplingProtocol,,
event,feltKode_innhold,,,,,
event,garn_nr,,,,,
event,serie_nr,,,,,
event,ant_garn ,,,,,
event,min_dyp,,,,,
event,max_dyp,,,,,
event,start_wp,,,,,
event,slutt_wp,,,,,
event,kommentar,,,,,
occurrence,eventID,,,,,
occurrence,Feltkode,,,,,
occurrence,feltkode_innhold,,,,,
occurrence,occurrenceID,,,,,
occurrence,Art,,,,,
occurrence,taxonID,,,,,
occurrence,scientificName,,,,,
occurrence,mesh_size_mm,,,,,
occurrence,Løpenr,,,,,
occurrence,lengde_cm,,,,,
occurrence,vekt_g,,,,,
occurrence,kjonn,,,,,
occurrence,Stadium,,,,,
occurrence,Farge,,,,,
occurrence,Bendelorm,,,,,
occurrence,Fyllingsgrad,,,,,
occurrence,#ISO,,,,,
occurrence,# MG,,,,,
occurrence,#DNA,,,,,
occurrence,Merknader,,,,,
occurrence,Døgnfluer,,,,,
occurrence,Steinfluer,,,,,
occurrence,Vårfluer,,,,,
occurrence,Fjærmygg,,,,,
occurrence,Stankelbein,,,,,
occurrence,Sviknott,,,,,
occurrence,Knott,,,,,
occurrence,Vannbiller,,,,,
occurrence,Buksvømmere,,,,,
occurrence,Ertemusling,,,,,
occurrence,Damsnegl,,,,,
occurrence,Skivesnegl,,,,,
occurrence,Plankton,,,,,
occurrence,Linsekreps,,,,,
occurrence,Mysis,,,,,
occurrence,Marflo,,,,,
occurrence,Pallasea,,,,,
occurrence,Fåbørstemark,,,,,
occurrence,Andre bunndyr,,,,,
occurrence,Luftinsekt,,,,,
occurrence,Fisk,,,,,
occurrence,skjellkonvoluttID,,,,,
occurrence,skjell_otolitt_innhold,,,,,
occurrence,vevsprøveID,,,,,
occurrence,vevsprøveInnhodl,,,,,
occurrence,fiskeglassID,,,,,
